Location,Court,Size,Floor,A_S,Price_per_size
41,125,600,1,1,5611
41,138,600,1,1,6047
41,171,600,2,1,6925
14,100,600,3,1,10180
16,84,700,1,1,10988
39,10,500,2,1,6494
39,10,500,3,1,6652
39,10,500,2,1,6610
39,13,700,2,1,7134
39,14,700,2,1,10459
20,41,500,2,1,5562
20,62,600,2,1,8901
20,62,600,1,1,8050
20,62,600,2,1,8883
20,62,700,3,1,9872
20,62,700,3,1,10375
20,62,700,1,1,9739
20,63,600,1,1,7757
20,64,600,1,1,9594
20,64,600,2,1,10411
20,64,700,2,1,9813
20,64,700,3,1,10152
20,64,700,3,1,10656
20,110,600,3,1,7939
20,165,500,3,1,6507
26,31,500,1,1,7657
26,48,500,2,1,8204
26,50,500,2,1,7890
26,166,600,2,1,10312
26,166,700,3,1,10275
26,166,700,2,1,10613
26,166,700,3,1,10767
26,166,700,2,1,10767
26,166,700,3,1,11074
26,166,700,2,1,10557
28,42,400,1,2,7453
28,42,600,2,1,5828
28,42,600,2,1,6977
28,82,500,2,1,5114
28,108,400,1,1,6508
28,108,500,1,1,5153
28,108,500,1,1,7289
34,56,700,2,1,9998
38,2,500,1,1,8254
38,2,500,3,1,11355
38,2,600,3,1,11155
38,3,500,2,1,9915
38,3,500,3,1,9662
38,3,600,1,1,9375
38,3,600,3,1,9797
38,3,600,3,1,10050
38,3,600,3,1,10473
38,17,700,3,1,9813
38,26,600,1,1,7179
38,43,600,3,1,8208
38,69,500,1,1,5457
38,70,600,2,1,6278
38,81,600,2,1,8808
38,104,500,1,1,6942
38,133,500,1,1,10607
38,133,700,2,1,9040
38,172,700,1,1,7996
42,168,500,1,1,6586
42,168,600,2,1,7851
3,7,600,1,1,8721
3,28,500,1,1,8477
3,28,500,1,1,8361
3,40,500,2,1,9244
3,140,400,1,2,6955
24,76,500,1,1,10452
24,76,500,1,1,12031
29,1,500,1,1,12119
29,1,500,2,1,12284
29,1,600,1,1,9763
29,1,600,1,1,11486
29,143,500,1,1,8446
29,145,500,1,1,9336
29,146,500,3,1,12937
1,87,500,2,1,8065
4,38,600,2,2,10740
27,85,300,2,1,6134
27,85,400,1,1,8122
5,109,500,2,1,11845
5,109,500,1,1,11502
5,109,600,3,1,11366
5,109,600,2,1,11380
5,109,600,1,1,11434
7,93,500,3,1,11237
40,141,500,1,1,9465
40,141,700,2,1,8996
40,141,700,3,1,9506
44,19,500,2,1,6765
44,32,500,3,1,7734
44,32,500,1,1,6860
44,74,600,2,1,11655
44,91,500,2,1,8005
15,160,600,1,2,11387
18,86,700,1,1,10352
18,122,500,2,1,5750
18,122,500,1,1,7216
18,122,600,1,1,6496
25,45,600,2,1,7403
25,45,600,3,2,6708
25,45,600,3,1,9156
25,45,700,1,1,8038
45,75,600,2,1,9088
